#Sr.,Name,District,Address,,,,,,,,,,,,,,,,,,,,,,
1,Bankura Depot,Bankura,"Mouza-Ekteshwar, Bhadul More, Vill. & P.O-Bhadul, P.S-Bankura, Dist.-Bankura ,Pin Code- 722107",,,,,,,,,,,,,,,,,,,,,,
2,Contai Depot,Purba Midnapore,"Mouza -Chhattradhara, P.O. - Contai, P.S - Contai, Dist. - Purba Medinipur ,Pin Code- 721401",,,,,,,,,,,,,,,,,,,,,,
3,Cossipore Depot,Kolkata(North),"Godown No. 9,10,11,12; 39, Gopal Chatterjee Road, Cossipore GFD, Kolkata ,Pin Code- 700002",,,,,,,,,,,,,,,,,,,,,,
4,Dankuni Depot,Hooghly,"Dankuni Depot C/o M/s. IRC Limited, Delhi Road, Par Dankuni, PO-Chakundi, PS-Dankuni, Dist. - Hooghly ,Pin Code- 712310",,,,,,,,,,,,,,,,,,,,,,
5,Asansol Depot,Paschim Bardhaman,"Chak Keshabgunj, Vill - Bagdandi, Kalipahari, Dist - Bardhaman 713339, West Bengal",,,,,,,,,,,,,,,,,,,,,,
6,Gangarampur Depot,Dakshin Dinajpur,"Vill.- Naroi, P.O - Buridighi, P.S - Gangarampur, Dist.- Dakshin Dinajpur, Email Id-bevcogrm@gmail.com ,Pin Code- 733124",,,,,,,,,,,,,,,,,,,,,,
7,Habra Depot,North 24-Parganas (Rural),"Habra Depot, C/o Mr. Piyush Kanti Saha, Malay Saha & Asit Saha, Vill- ProtapNagar, PO-Ganadipayan, PS-Habra, Dist. - North 24 Pgs. ,Pin Code- 743263",,,,,,,,,,,,,,,,,,,,,,
8,Jalpaiguri Depot,Jalpaiguri,"Haldibari More, P.S & Dist. - Jalpaiguri ,Pin Code- 735102",,,,,,,,,,,,,,,,,,,,,,
9,Alamganj Depot,Purba Bardhaman,"Jahuri Patty, Rajbati, Dist- Purba Barddhaman 713104, West Bengal",,,,,,,,,,,,,,,,,,,,,,
10,Chowbaga Depot,Alipur Excise District,"558, West Chowbhaga, Near Skoda Workshop, Kolkata - 700105",,,,,,,,,,,,,,,,,,,,,,
11,Kharagpur Depot,Paschim Midnapore,"Saha Chawk, NH - 6, Rakha Ganja, Kharagpur Town, Dist. - Paschim Medinipur ,Pin Code- 721301",,,,,,,,,,,,,,,,,,,,,,
12,Krishnanagar Depot,Nadia,"Krishnanagar Depot, C/o Mr. Madhusudan Garai, PO-Bhatjungla, Krishna nagar, NH-34, PS-Kotwali, Dist. - Nadia ,Pin Code- 741101",,,,,,,,,,,,,,,,,,,,,,
13,Maheshtala Depot,South 24 Parganas (Rural),"Gobindapur, Maheshtala, South 24 Parganas ,Pin Code- 700141",,,,,,,,,,,,,,,,,,,,,,
14,Malda Depot,Malda,"Vill. - Narayanpur, Mouza - Jhanjira, P.S - Old Malda, Dist. - Malda ,Pin Code- 732141",,,,,,,,,,,,,,,,,,,,,,
