Brand code,Category,Type,Brand Name,Size,Warehouse Stock
0203132015/0006,OS,Vodka,Absolut Elyx Vodka,750 ml,1
0203152012/0207,OS,Wine,Ag Forty Seven Chardonnay,750 ml,1
0203152012/0208,OS,Wine,Ag Forty Seven Malbec Shiraz,750 ml,1
0203132008/0017,OS,Vodka,Belvedere Vodka,700 ml,1
,OS,Liqueur,Campari Milano Bitter,750 ml,1
0201152014/0027,IMFL,Wine,Chandon Brut,750 ml,1
0203142012/0031,OS,Whisky,Johnnie Walker Gold Label Reserve Blended Scotch Whisky,750 ml,1
0203132012/0007,OS,Vodka,Ketel One Vodka,750 ml,1
0203082017/0002,OS,Gin,Martini Bianco Vermouth,1000 ml,1
0203082018/0002,OS,Gin,Monkey 47 Schwarzwald Dry Gin,500 ml,1
0203142012/0015,OS,Whisky,Talisker 10 Yo Single Malt Scotch Whisky,750 ml,1
0201082021/0004,IMFL,Gin,Terai India Dry Gin,750 ml,1
0203142013/0019,OS,Whisky,Aberfeldy Single Highland Malt Scotch Whisky Aged 12 Years,750 ml,2
0203162021/0003,OS,Tequila,Casco Viejo Silver Tequila,750 ml,2
0203142016/0022,OS,Whisky,Chivas Regal Gold Signature 18 YO Scotch Whisky,750 ml,2
0201152021/0021,IMFL,Wine,Frizzano Italian Collection Bainco White Sparkling Wine,750 ml,2
0203132008/0001,OS,Vodka,Grey Goose Vodka,750 ml,2
0201082021/0001,IMFL,Gin,Hapusa Himalayan Dry Gin,750 ml,2
0203142015/0016,OS,Whisky,Johnnie Walker Double Black Blended Scotch Whisky,750 ml,2
0203092017/0002,OS,Liqueur,Martini Rosso Vermouth,1000 ml,2
0201152013/0035,IMFL,Wine,Sula Brut Methode Traditionnelle,750 ml,2
0201152016/0016,IMFL,Wine,Sula Brut Tropicale Methode Traditionnelle,750 ml,2
0201152015/0009,IMFL,Wine,Sula Seco Rose Methode Classique,750 ml,2
0203082016/0003,OS,Gin,The Original Gordons London Dry Gin,750 ml,2
,OS,Liqueur,Aperol,700 ml,3
0203152014/0057,OS,Wine,Jacobs Creek Classic Shiraz Cabernet,187 ml,3
0203152014/0011,OS,Wine,Martini Extra Dry Torino,1000 ml,3
0203152012/0022,OS,Wine,Soro Toscana Bianco,750 ml,3
,OS,Liqueur,Baileys The Original Irish Cream,750 ml,4
0201152014/0026,IMFL,Wine,Fratelli Shiraz Rose,750 ml,4
0203152016/0021,OS,Wine,Sensi Merlot Collezione,750 ml,4
0203152012/0023,OS,Wine,Soro Toscana Rosso,750 ml,4
0203142019/0013,OS,Whisky,Jack Daniel's Old No.7 Brand Tennessee Sour Mash Whiskey,750 ml,5
